name,city,state_code,country_code,latitude,longitude
Joost,New York,NY,USA,40.7464969,-74.0094471
Babelgum,London,,GBR,53.344104,-6.267494
Veoh,San Diego,CA,USA,32.902266,-117.20834
YouTube,San Bruno,CA,USA,37.627971,-122.426804
Pando Networks,New York,NY,USA,40.722655,-73.99873
Revision3,San Francisco,CA,USA,37.757758,-122.388243
CastTV,San Francisco,CA,USA,37.780716,-122.393913
RockYou,Redwood City,CA,USA,37.484619,-122.206893
hi5,San Francisco,CA,USA,37.788668,-122.400558
Curse,San Francisco,CA,USA,37.787092,-122.399972
Curse,Huntsville,AL,USA,,
PodTech,Palo Alto,CA,USA,37.408256,-122.154176
PermissionTV,Waltham,MA,USA,42.417268,-71.258466
Aniboom,,,ISR,31.046051,34.851612
Metacafe,San Francisco,CA,USA,37.437328,-122.159928
Snocap,San Francisco,CA,USA,,
Kongregate,San Francisco,CA,USA,37.786942,-122.401245
Zango,Bellevue,WA,USA,47.579208,-122.155668
Mevio,San Francisco,CA,USA,37.782263,-122.392142
Ruckus,,,USA,37.09024,-95.712891
sezmi,Belmont,CA,USA,37.524422,-122.265869
sezmi,Santa Monica,CA,USA,34.017373,-118.453218
sezmi,Fort Lauderdale,FL,USA,26.207024,-80.157296
Vtap,Andover,MA,USA,42.656621,-71.140538
MocoSpace,Boston,MA,USA,42.350274,-71.058768
Xfire,Santa Monica,CA,USA,34.0184659,-118.49863
OMGPOP,New York,NY,USA,40.723384,-74.001704
OMGPOP,Austin,TX,USA,,
Crunchyroll,San Francisco,CA,USA,37.781265,-122.393229
hulu,Los Angeles,CA,USA,34.031276,-118.456806
Musicshake,Los Angeles,CA,USA,,
FlowPlay,Seattle,WA,USA,47.6015315,-122.335943
ChessPark,West Palm Beach,CA,USA,43.67084,-83.913153
mig33,Singapore,,SGP,37.580304,-122.343679
Metaplace,Solana Beach,CA,USA,33.020832,-117.077311
PlaySpan,Santa Clara,CA,USA,37.396312,-121.961396
PlaySpan,San Francisco,CA,USA,,
Rupture,San Francisco,CA,USA,37.783898,-122.395234
23andMe,Mountain View,CA,USA,37.09024,-95.712891
The Climate Corporation,San Francisco,CA,USA,37.782809,-122.394354
