name,city,state_code,country_code,latitude,longitude
Joost,New York,NY,USA,40.7464969,-74.0094471
Pando Networks,New York,NY,USA,40.722655,-73.99873
OMGPOP,New York,NY,USA,40.723384,-74.001704
WeShow,New York,NY,USA,40.752516,-73.973072
Boonty,New York,NY,USA,40.717248,-74.002662
Generate,New York,NY,USA,40.7570972,-73.969821
Cellufun,New York,NY,USA,40.73993,-73.9930489
Velocix,New York,NY,USA,40.758504,-73.980068
Major League Gaming,New York,NY,USA,40.752672,-73.97593
Crispy Gamer,New York,NY,USA,40.750597,-73.985273
Recyclebank,New York,NY,USA,40.7310476,-74.0078134
GameGround,New York,NY,USA,40.756054,-73.986951
Promosome,New York,NY,USA,42.2774845,-74.304914
Exent,New York,NY,USA,40.7523796,-74.005568
Palyon Medical,New York,NY,USA,40.756054,-73.986951
