name,city,state_code,country_code,lat,lon,coordinates,distance,query
Crispy Gamer,New York,NY,USA,40.750597,-73.985273,"[-73.985273, 40.750597]",1355,companies nearby
Joost,New York,NY,USA,40.7464969,-74.0094471,"[-74.0094471, 40.7464969]",1563,companies nearby
Recyclebank,New York,NY,USA,40.7310476,-74.0078134,"[-74.0078134, 40.7310476]",1588,companies nearby
Exent,New York,NY,USA,40.7523796,-74.005568,"[-74.005568, 40.7523796]",1740,companies nearby
GameGround,New York,NY,USA,40.756054,-73.986951,"[-73.986951, 40.756054]",1865,companies nearby
Palyon Medical,New York,NY,USA,40.756054,-73.986951,"[-73.986951, 40.756054]",1865,companies nearby
OMGPOP,New York,NY,USA,40.723384,-74.001704,"[-74.001704, 40.723384]",1979,companies nearby
Pando Networks,New York,NY,USA,40.722655,-73.99873,"[-73.99873, 40.722655]",1980,companies nearby
Major League Gaming,New York,NY,USA,40.752672,-73.97593,"[-73.97593, 40.752672]",2022,companies nearby
WeShow,New York,NY,USA,40.752516,-73.973072,"[-73.973072, 40.752516]",2189,companies nearby
Velocix,New York,NY,USA,40.758504,-73.980068,"[-73.980068, 40.758504]",2337,companies nearby
Boonty,New York,NY,USA,40.717248,-74.002662,"[-74.002662, 40.717248]",2649,companies nearby
Generate,New York,NY,USA,40.7570972,-73.969821,"[-73.969821, 40.7570972]",2734,companies nearby
