name,city,state_code,country_code,latitude,longitude
Revision3,San Francisco,CA,USA,37.757758,-122.388243
CastTV,San Francisco,CA,USA,37.780716,-122.393913
hi5,San Francisco,CA,USA,37.788668,-122.400558
Curse,San Francisco,CA,USA,37.787092,-122.399972
Metacafe,San Francisco,CA,USA,37.437328,-122.159928
Kongregate,San Francisco,CA,USA,37.786942,-122.401245
Mevio,San Francisco,CA,USA,37.782263,-122.392142
Crunchyroll,San Francisco,CA,USA,37.781265,-122.393229
Rupture,San Francisco,CA,USA,37.783898,-122.395234
The Climate Corporation,San Francisco,CA,USA,37.782809,-122.394354
PlayFirst,San Francisco,CA,USA,37.790346,-122.40185
Outspark,San Francisco,CA,USA,37.775196,-122.419204
Zynga,San Francisco,CA,USA,37.765158,-122.404234
99designs,San Francisco,CA,USA,37.7955307,-122.4005983
Serious Business,San Francisco,CA,USA,37.7893215,-122.4013624
Kabam,San Francisco,CA,USA,37.3944561,-122.0785314
PurePlay,San Francisco,CA,USA,37.775196,-122.419204
Carbonetworks,San Francisco,CA,USA,37.805289,-122.404448
ngmoco,San Francisco,CA,USA,37.7705096,-122.4015807
Shattered Reality Interactive,San Francisco,CA,USA,37.783046,-122.394067
Shattered Reality Interactive,San Francisco,CA,USA,37.783046,-122.394067
Booyah,San Francisco,CA,USA,37.420728,-122.2103414
GotGame,San Francisco,CA,USA,37.77772,-122.395785
Heyzap,San Francisco,CA,USA,37.7905538,-122.4041485
Unity Technologies,San Francisco,CA,USA,55.6924605,12.530107
ACT Biotech,San Francisco,CA,USA,37.7871306,-122.4041075
Osprey Pharmaceuticals USA,San Francisco,CA,USA,37.775196,-122.419204
Siluria Technologies,San Francisco,CA,USA,37.4484914,-122.1802812
Exent,San Francisco,CA,USA,37.787646,-122.402759
