query,name,address,distance,lat,lon,geometry
school,St Albans Primary School,"Baldwins Gardens, London, EC1N 7SD",681,51.520223,-0.110579,POINT (-0.110579 51.520223)
school,St Clement Danes C of E Primary School,"Drury Lane, London, Greater London, WC2B 5SU",732,51.513546,-0.119311,POINT (-0.119311 51.513546)
school,St Josephs R C Primary School,"Macklin St, London, WC2B 5NA",921,51.516073,-0.121987,POINT (-0.121987 51.516073)
school,Christopher Hatton Primary School,"38 Laystall St, London, Greater London, EC1R 4PQ",985,51.522687,-0.112286,POINT (-0.112286 51.522687)
school,"The British School, Tehran","Devonshire House, 60 Goswell Rd, London, EC1M 7AD",1259,51.523182,-0.097971,POINT (-0.097971 51.523182)
club,Lucky Voice Holborn,"84 Chancery Lane, London, Greater London, WC2A 1DL",292,51.515879,-0.112123,POINT (-0.112123 51.515879)
club,Salsa! Temple,"Temple Station, London, Greater London, WC2R 2PH",508,51.510908,-0.114303,POINT (-0.114303 51.510908)
club,Crush,"Houghton St, London, WC2A 2AE",535,51.513989,-0.116752,POINT (-0.116752 51.513989)
club,The Yacht London,"Temple Pier, Victoria Embankment (Victoria Embankment), Temple, Greater London, WC2R 2PN",546,51.51083,-0.112538,POINT (-0.112538 51.51083)
club,Temple Pier,"Victoria Embankment, London, Greater London, WC2R 2PN",585,51.51083,-0.112538,POINT (-0.112538 51.51083)
starbucks,Starbucks,"90-91 Fleet St, London, EC4Y 1DH",245,51.514022,-0.105468,POINT (-0.105468 51.514022)
starbucks,Starbucks,"30-34A New Bridge St, London, Greater London, EC4V 6BJ",385,51.512525,-0.103906,POINT (-0.103906 51.512525)
starbucks,Starbucks,"9-13 Holborn Viaduct, The City, London, EC1A 2AT",439,51.516783,-0.104247,POINT (-0.104247 51.516783)
starbucks,Starbucks,"3 Fleet Pl, London, Greater London, EC4M 7RA",477,51.516398,-0.103198,POINT (-0.103198 51.516398)
starbucks,Starbucks,"10 Kingsway, London, Greater London, WC2B 6LH",599,51.513847,-0.117479,POINT (-0.117479 51.513847)
airport,London City Airport (LCY),"Royal Docks, London, Greater London, E16 2PX",11072,51.503297,0.050112,POINT (0.050112 51.503297)
airport,London Heathrow Airport (LHR),"The Compass Centre, Nelson Rd, Hounslow, Greater London, TW6 2GW",24706,51.470012,-0.454478,POINT (-0.454478 51.470012)
airport,London Gatwick Airport (LGW),"A23 Airport Way, Crawley, West Sussex, RH6 0NP",39759,51.15671,-0.163651,POINT (-0.163651 51.15671)
vegan restaurant,Pilpel,"1a Wine Office Ct (146 Fleet Street), London, Greater London, EC4A 3BY",127,51.514419,-0.107425,POINT (-0.107425 51.514419)
vegan restaurant,Leon,"12 Ludgate Circus, London, Greater London, EC4M 7LQ",326,51.514297,-0.104202,POINT (-0.104202 51.514297)
vegan restaurant,Pilpel,"5 Queens Head Passage (Paternoster Sq), London, Greater London, EC4M 7DZ",738,51.51504,-0.098622,POINT (-0.098622 51.51504)
vegan restaurant,by CHLOE. Covent Garden,"34-43 Russell St (Drury Ln), Covent Garden, Greater London, WC2B 5HA",788,51.51349,-0.120536,POINT (-0.120536 51.51349)
vegan restaurant,Flipside,"88 Cowcross St, London, Greater London, EC1M 6BP",793,51.519993,-0.10266,POINT (-0.10266 51.519993)
