query,name,address,distance,lat,lon,type,geometry
school,Holocaust Education Foundation,"20 W 20th St, New York, NY 10011",52,40.740084,-73.99246,"{'typepoint': {'type': 'Point', 'coordinates': [40.740084, -73.99246]}}",POINT (-73.99246 40.740084)
school,Victory Schools,"18 W 18th St, New York, NY 10011",118,40.738875,-73.993286,"{'typepoint': {'type': 'Point', 'coordinates': [40.738875, -73.993286]}}",POINT (-73.993286 40.738875)
school,Ps 340,"590 Avenue of the Americas (17th St.), New York, NY 10011",203,40.739036,-73.995301,"{'typepoint': {'type': 'Point', 'coordinates': [40.739036, -73.995301]}}",POINT (-73.995301 40.739036)
school,Kane School Of Core Integration,"7 E 17th St, New York, NY 10003",256,40.737837,-73.991761,"{'typepoint': {'type': 'Point', 'coordinates': [40.737837, -73.991761]}}",POINT (-73.991761 40.737837)
school,Shield Institute,"114 W 17th St, New York, NY 10011",277,40.739441,-73.996278,"{'typepoint': {'type': 'Point', 'coordinates': [40.739441, -73.996278]}}",POINT (-73.996278 40.739441)
club,Jimmy Antons Salsa Social Sundays,"39-47 E 19 St (5th And 6th Avenue), New York, NY 10011",38,40.740219,-73.99347,"{'typepoint': {'type': 'Point', 'coordinates': [40.740219, -73.99347]}}",POINT (-73.99347 40.740219)
club,Hunkamania Male Strippers NYC,"45 W 21st St, New York, NY 10010",168,40.741426,-73.992731,"{'typepoint': {'type': 'Point', 'coordinates': [40.741426, -73.992731]}}",POINT (-73.992731 40.741426)
club,Studio XXI,"59 W 21st St, New York, NY 10010",171,40.741469,-73.993126,"{'typepoint': {'type': 'Point', 'coordinates': [40.741469, -73.993126]}}",POINT (-73.993126 40.741469)
club,Retroclubnyc Retroclubnyc,"161 W 23rd St, New York, NY 10011",473,40.743908,-73.994707,"{'typepoint': {'type': 'Point', 'coordinates': [40.743908, -73.994707]}}",POINT (-73.994707 40.743908)
club,Somewhere Nowhere NYC,"112 W 25th St, New York, NY 10001",489,40.744322,-73.992702,"{'typepoint': {'type': 'Point', 'coordinates': [40.744322, -73.992702]}}",POINT (-73.992702 40.744322)
starbucks,Starbucks,"684 Avenue of the Americas (at W 22nd St), New York, NY 10010",213,40.74195,-73.993276,"{'typepoint': {'type': 'Point', 'coordinates': [40.74195, -73.993276]}}",POINT (-73.993276 40.74195)
starbucks,Starbucks,"14 W 23rd St (btwn 5th & 6th Ave), New York, NY 10010",300,40.741544,-73.990334,"{'typepoint': {'type': 'Point', 'coordinates': [40.741544, -73.990334]}}",POINT (-73.990334 40.741544)
starbucks,Starbucks,"750 Avenue of the Americas (at W 24th St), New York, NY 10010",413,40.743768,-73.991906,"{'typepoint': {'type': 'Point', 'coordinates': [40.743768, -73.991906]}}",POINT (-73.991906 40.743768)
starbucks,Starbucks,"510 Avenue of the Americas (at W 14th St), New York, NY 10011",432,40.736948,-73.996704,"{'typepoint': {'type': 'Point', 'coordinates': [40.736948, -73.996704]}}",POINT (-73.996704 40.736948)
starbucks,Barnes & Noble,"33 E 17th St, New York, NY 10003",441,40.737059,-73.989748,"{'typepoint': {'type': 'Point', 'coordinates': [40.737059, -73.989748]}}",POINT (-73.989748 40.737059)
airport,LaGuardia Airport (LGA),"Queens, NY 11371",11080,40.774546,-73.873296,"{'typepoint': {'type': 'Point', 'coordinates': [40.774546, -73.873296]}}",POINT (-73.873296 40.774546)
