query,name,address,distance,lat,lon,geometry
school,AltSchool Yerba Buena,"300 4th St, San Francisco, CA 94107",255,37.781815,-122.401127,POINT (-122.401127 37.781815)
school,San Francisco Unified School District,"825 Shotwell St, San Francisco, CA 94110",348,37.78065,-122.400556,POINT (-122.400556 37.78065)
school,American College of Early Childhood Education,"760 Market St, San Francisco, CA 94102",503,37.786362,-122.405338,POINT (-122.405338 37.786362)
school,Bessie Carmichael Elementary School,"55 Sherman St, San Francisco, CA 94103",561,37.777146,-122.406228,POINT (-122.406228 37.777146)
school,Bessie Carmichael Pre-K School,"55 Sherman St, San Francisco, CA 94103",612,37.776734,-122.406491,POINT (-122.406491 37.776734)
club,Covered Wagon Saloon,"917 Folsom St (at 5th), San Francisco, CA 94107",237,37.77989,-122.403666,POINT (-122.403666 37.77989)
club,The View,"55 4th St (btwn Market & Mission), San Francisco, CA 94103",380,37.785207,-122.404625,POINT (-122.404625 37.785207)
club,Monarch,"101 6th St (at Mission St), San Francisco, CA 94103",398,37.780935,-122.408387,POINT (-122.408387 37.780935)
club,Nikitin & Reznikoff Obyebos,"788 Harrison St (4th), San Francisco, CA 94107",417,37.781219,-122.399515,POINT (-122.399515 37.781219)
club,1015 Folsom,"1015 Folsom St (at 6th St), San Francisco, CA 94103",437,37.778128,-122.405784,POINT (-122.405784 37.778128)
starbucks,Starbucks,"120 4th St (at Mission St), San Francisco, CA 94103",256,37.784199,-122.404135,POINT (-122.404135 37.784199)
starbucks,Starbucks,"789 Mission St (at 4th St), San Francisco, CA 94103",297,37.78447,-122.404008,POINT (-122.404008 37.78447)
starbucks,Starbucks,"865 Market St (5th street), San Francisco, CA 94103",388,37.784144,-122.407429,POINT (-122.407429 37.784144)
starbucks,Starbucks,"201 3rd St (at Tehama St), San Francisco, CA 94103",487,37.765871,-122.40327,POINT (-122.40327 37.765871)
starbucks,Starbucks,"780 Market St (at 4th St), San Francisco, CA 94102",488,37.786145,-122.405612,POINT (-122.405612 37.786145)
airport,San Francisco International Airport (SFO),"at Link Rd, San Francisco, CA 94128",18415,37.624123,-122.395506,POINT (-122.395506 37.624123)
airport,Oakland International Airport (OAK),"1 Airport Dr, Oakland, CA 94621",18478,37.7117,-122.212997,POINT (-122.212997 37.7117)
vegan restaurant,Mixt,"51 Yerba Buena Ln, San Francisco, CA 94103",424,37.785581,-122.404432,POINT (-122.404432 37.785581)
vegan restaurant,Ginger Bowls,"60 Morris St, San Francisco, CA 94107",566,37.776849,-122.402842,POINT (-122.402842 37.776849)
vegan restaurant,Plant B,"60 Morris St, San Francisco, CA 94107",582,37.776829,-122.402645,POINT (-122.402645 37.776829)
vegan restaurant,Thai Basil Cart,"60 Morris St (Bryant St), San Francisco, CA 94107",594,37.776768,-122.402622,POINT (-122.402622 37.776768)
vegan restaurant,Graze Salad Bar,"1028 Market St, San Francisco, CA 94102",614,37.781898,-122.411168,POINT (-122.411168 37.781898)
basketball,Google Cloud Courtside Lounge 25,"San Francisco, CA 94158",2098,37.76819,-122.387852,POINT (-122.387852 37.76819)
basketball,Chase Center Stadium,"1 Warriors Way, San Francisco, CA 94158",2144,37.767935,-122.387335,POINT (-122.387335 37.767935)
basketball,United Club,"500 Terry A Francois Blvd, San Francisco, CA 94158",2158,37.767935,-122.387335,POINT (-122.387335 37.767935)
basketball,Kezar Pavilion,"755 Stanyan St, San Francisco, CA 94117",4652,37.767597,-122.453753,POINT (-122.453753 37.767597)
dog hairdresser,Bernie's Grooming,"1200 15th St (Harrison), San Francisco, CA 94103",1866,37.766871,-122.412862,POINT (-122.412862 37.766871)
dog hairdresser,Bow Wow Meow,"2150 Polk St (btw Vallejo & Broadway), San Francisco, CA 94109",2252,37.796544,-122.421711,POINT (-122.421711 37.796544)
