query,name,address,distance,lat,lon,type,geometry
school,Martin Elementary School,"35 School St, South San Francisco, CA 94080",1195,37.663471,-122.410062,"{'typepoint': {'type': 'Point', 'coordinates': [37.663471, -122.410062]}}",POINT (-122.410062 37.663471)
school,Academic Insight,"325 Corey Way, South San Francisco, CA 94080",1259,37.644996,-122.401457,"{'typepoint': {'type': 'Point', 'coordinates': [37.644996, -122.401457]}}",POINT (-122.401457 37.644996)
school,All Souls Catholic School,"479 Miller Ave (Spruce), South San Francisco, CA 94080",1369,37.657254,-122.41528,"{'typepoint': {'type': 'Point', 'coordinates': [37.657254, -122.41528]}}",POINT (-122.41528 37.657254)
school,Spruce Elementary School,"501 Spruce Ave, South San Francisco, CA 94080",1408,37.658973,-122.416312,"{'typepoint': {'type': 'Point', 'coordinates': [37.658973, -122.416312]}}",POINT (-122.416312 37.658973)
school,South San Francisco Unified School District,"530 Tamarack Ln, South San Francisco, CA 94080",1631,37.658713,-122.418015,"{'typepoint': {'type': 'Point', 'coordinates': [37.658713, -122.418015]}}",POINT (-122.418015 37.658713)
club,Club Marakas,"254 Grand Ave, South San Francisco, CA 94080",882,37.655268,-122.409579,"{'typepoint': {'type': 'Point', 'coordinates': [37.655268, -122.409579]}}",POINT (-122.409579 37.655268)
club,Z.O.Y. Zumba Fitness Studio,"415 Grand Ave, South San Francisco, CA 94080",1178,37.65562,-122.413108,"{'typepoint': {'type': 'Point', 'coordinates': [37.65562, -122.413108]}}",POINT (-122.413108 37.65562)
starbucks,Starbucks,"176 Gateway Blvd, South San Francisco, CA 94080",511,37.652082,-122.402017,"{'typepoint': {'type': 'Point', 'coordinates': [37.652082, -122.402017]}}",POINT (-122.402017 37.652082)
starbucks,Starbucks,"101 Oyster Point Blvd (Gateway blvd), South San Francisco, CA 94080",763,37.662538,-122.396545,"{'typepoint': {'type': 'Point', 'coordinates': [37.662538, -122.396545]}}",POINT (-122.396545 37.662538)
starbucks,Starbucks,"329 Grand Ave (at Linden Ave), South San Francisco, CA 94080",991,37.65517,-122.410862,"{'typepoint': {'type': 'Point', 'coordinates': [37.65517, -122.410862]}}",POINT (-122.410862 37.65517)
airport,San Francisco International Airport (SFO),"at Link Rd, San Francisco, CA 94128",4527,37.624123,-122.395506,"{'typepoint': {'type': 'Point', 'coordinates': [37.624123, -122.395506]}}",POINT (-122.395506 37.624123)
airport,San Francisco International Airport (SFO),"at Link Rd, San Francisco, CA 94128",4527,37.624123,-122.395506,"{'typepoint': {'type': 'Point', 'coordinates': [37.624123, -122.395506]}}",POINT (-122.395506 37.624123)
airport,Oakland International Airport (OAK),"1 Airport Dr, Oakland, CA 94621",17515,37.7117,-122.212997,"{'typepoint': {'type': 'Point', 'coordinates': [37.7117, -122.212997]}}",POINT (-122.212997 37.7117)
airport,Oakland International Airport (OAK),"1 Airport Dr, Oakland, CA 94621",17515,37.7117,-122.212997,"{'typepoint': {'type': 'Point', 'coordinates': [37.7117, -122.212997]}}",POINT (-122.212997 37.7117)
vegan restaurant,Sky Cafe,"223 Grand Ave, South San Francisco, CA 94080",854,37.65485,-122.409285,"{'typepoint': {'type': 'Point', 'coordinates': [37.65485, -122.409285]}}",POINT (-122.409285 37.65485)
vegan restaurant,Nicks Kitchen,"223 Grand Ave, South San Francisco, CA 94080",855,37.654703,-122.409259,"{'typepoint': {'type': 'Point', 'coordinates': [37.654703, -122.409259]}}",POINT (-122.409259 37.654703)
